angle_x,angle_y,angle_z,brisk.threshold,dataset,err_MTRE,err_bias_x,err_bias_y,err_bias_z,fpfh.searchRadius,harris.searchRadius,harris.threshold,normals.searchRadius,pipelineType,sacia.maxCorrDist,sacia.minSampleDist,sacia.numIterations,sacia.numSamplesPerIter,seedRef,seedRot,seedSource,sift.minContrastSource,sift.minContrastTarget,sift.minScaleSource,sift.minScaleTarget,sift.numOctavesSource,sift.numOctavesTarget,sift.numScalesPerOctaveSource,sift.numScalesPerOctaveTarget,sourceHeight,sourceWidth,visualizer.parameter,x_uncertainty,y_uncertainty
0.000000,0.000000,20.000000,60.000000,../data/y656_65_2550_17_400x400m_subset.pcd,7.931268,2.993959,3.462247,0.829469,27.000000,2.000000,0.000000,9.000000,all,0.500000,0.000000,800.000000,5.000000,46.560000,70.136800,46.714000,0.001000,0.001000,0.500000,0.500000,6.000000,6.000000,8.000000,8.000000,23.000000,35.000000,0.000000,5.000000,5.000000
0.000000,0.000000,20.000000,60.000000,../data/y656_65_2550_17_400x400m_subset.pcd,0.607046,0.460921,-0.242086,0.047712,45.000000,2.000000,0.000000,9.000000,all,0.500000,0.000000,800.000000,5.000000,48.560000,73.136800,48.714000,0.001000,0.001000,0.500000,0.500000,6.000000,6.000000,8.000000,8.000000,23.000000,35.000000,0.000000,5.000000,5.000000
0.000000,0.000000,20.000000,60.000000,../data/y656_65_2550_17_400x400m_subset.pcd,3.357252,2.957792,0.341329,0.153044,1.200000,2.000000,0.000000,1.000000,all,1.000000,0.000000,800.000000,5.000000,50.560000,76.136800,50.714000,0.001000,0.001000,0.500000,0.500000,6.000000,6.000000,8.000000,8.000000,23.000000,35.000000,0.000000,5.000000,5.000000
0.000000,0.000000,20.000000,60.000000,../data/y656_65_2550_17_400x400m_subset.pcd,4.867576,-3.192203,3.641928,-0.060148,1.500000,2.000000,0.000000,1.000000,all,1.000000,0.000000,800.000000,5.000000,52.560000,79.136800,52.714000,0.001000,0.001000,0.500000,0.500000,6.000000,6.000000,8.000000,8.000000,23.000000,35.000000,0.000000,5.000000,5.000000
0.000000,0.000000,20.000000,60.000000,../data/y656_65_2550_17_400x400m_subset.pcd,1.907666,-1.250691,-1.114923,0.272101,2.000000,2.000000,0.000000,1.000000,all,1.000000,0.000000,800.000000,5.000000,54.560000,82.136800,54.714000,0.001000,0.001000,0.500000,0.500000,6.000000,6.000000,8.000000,8.000000,23.000000,35.000000,0.000000,5.000000,5.000000
0.000000,0.000000,20.000000,60.000000,../data/y656_65_2550_17_400x400m_subset.pcd,0.218305,-0.002386,0.029534,-0.086481,3.000000,2.000000,0.000000,1.000000,all,1.000000,0.000000,800.000000,5.000000,56.560000,85.136800,56.714000,0.001000,0.001000,0.500000,0.500000,6.000000,6.000000,8.000000,8.000000,23.000000,35.000000,0.000000,5.000000,5.000000
0.000000,0.000000,20.000000,60.000000,../data/y656_65_2550_17_400x400m_subset.pcd,0.155094,0.094772,0.101494,-0.046660,5.000000,2.000000,0.000000,1.000000,all,1.000000,0.000000,800.000000,5.000000,58.560000,88.136800,58.714000,0.001000,0.001000,0.500000,0.500000,6.000000,6.000000,8.000000,8.000000,23.000000,35.000000,0.000000,5.000000,5.000000
0.000000,0.000000,20.000000,60.000000,../data/y656_65_2550_17_400x400m_subset.pcd,2.233426,-2.150236,0.068958,0.046305,1.800000,2.000000,0.000000,1.500000,all,1.000000,0.000000,800.000000,5.000000,60.560000,91.136800,60.714000,0.001000,0.001000,0.500000,0.500000,6.000000,6.000000,8.000000,8.000000,23.000000,35.000000,0.000000,5.000000,5.000000
0.000000,0.000000,20.000000,60.000000,../data/y656_65_2550_17_400x400m_subset.pcd,0.258897,0.156196,-0.074077,-0.008078,2.250000,2.000000,0.000000,1.500000,all,1.000000,0.000000,800.000000,5.000000,62.560000,94.136800,62.714000,0.001000,0.001000,0.500000,0.500000,6.000000,6.000000,8.000000,8.000000,23.000000,35.000000,0.000000,5.000000,5.000000
0.000000,0.000000,20.000000,60.000000,../data/y656_65_2550_17_400x400m_subset.pcd,0.145994,0.003615,0.127964,0.010821,3.000000,2.000000,0.000000,1.500000,all,1.000000,0.000000,800.000000,5.000000,64.560000,97.136800,64.714000,0.001000,0.001000,0.500000,0.500000,6.000000,6.000000,8.000000,8.000000,23.000000,35.000000,0.000000,5.000000,5.000000
0.000000,0.000000,20.000000,60.000000,../data/y656_65_2550_17_400x400m_subset.pcd,0.207639,-0.147771,0.012020,0.033893,4.500000,2.000000,0.000000,1.500000,all,1.000000,0.000000,800.000000,5.000000,66.560000,100.136800,66.714000,0.001000,0.001000,0.500000,0.500000,6.000000,6.000000,8.000000,8.000000,23.000000,35.000000,0.000000,5.000000,5.000000
0.000000,0.000000,20.000000,60.000000,../data/y656_65_2550_17_400x400m_subset.pcd,0.684845,-0.418939,0.529855,-0.016630,7.500000,2.000000,0.000000,1.500000,all,1.000000,0.000000,800.000000,5.000000,68.560000,103.136800,68.714000,0.001000,0.001000,0.500000,0.500000,6.000000,6.000000,8.000000,8.000000,23.000000,35.000000,0.000000,5.000000,5.000000
0.000000,0.000000,20.000000,60.000000,../data/y656_65_2550_17_400x400m_subset.pcd,0.284960,0.133093,-0.154469,-0.004655,3.600000,2.000000,0.000000,3.000000,all,1.000000,0.000000,800.000000,5.000000,70.560000,106.136800,70.714000,0.001000,0.001000,0.500000,0.500000,6.000000,6.000000,8.000000,8.000000,23.000000,35.000000,0.000000,5.000000,5.000000
0.000000,0.000000,20.000000,60.000000,../data/y656_65_2550_17_400x400m_subset.pcd,0.210595,-0.194941,-0.004030,0.009792,4.500000,2.000000,0.000000,3.000000,all,1.000000,0.000000,800.000000,5.000000,72.560000,109.136800,72.714000,0.001000,0.001000,0.500000,0.500000,6.000000,6.000000,8.000000,8.000000,23.000000,35.000000,0.000000,5.000000,5.000000
0.000000,0.000000,20.000000,60.000000,../data/y656_65_2550_17_400x400m_subset.pcd,0.440435,-0.087164,0.293561,-0.039914,6.000000,2.000000,0.000000,3.000000,all,1.000000,0.000000,800.000000,5.000000,74.560000,112.136800,74.714000,0.001000,0.001000,0.500000,0.500000,6.000000,6.000000,8.000000,8.000000,23.000000,35.000000,0.000000,5.000000,5.000000
0.000000,0.000000,20.000000,60.000000,../data/y656_65_2550_17_400x400m_subset.pcd,0.259740,0.095412,-0.095895,-0.134539,9.000000,2.000000,0.000000,3.000000,all,1.000000,0.000000,800.000000,5.000000,76.560000,115.136800,76.714000,0.001000,0.001000,0.500000,0.500000,6.000000,6.000000,8.000000,8.000000,23.000000,35.000000,0.000000,5.000000,5.000000
0.000000,0.000000,20.000000,60.000000,../data/y656_65_2550_17_400x400m_subset.pcd,0.429502,0.002384,-0.092298,0.026649,15.000000,2.000000,0.000000,3.000000,all,1.000000,0.000000,800.000000,5.000000,78.560000,118.136800,78.714000,0.001000,0.001000,0.500000,0.500000,6.000000,6.000000,8.000000,8.000000,23.000000,35.000000,0.000000,5.000000,5.000000
0.000000,0.000000,20.000000,60.000000,../data/y656_65_2550_17_400x400m_subset.pcd,1.199298,0.236782,-0.078558,0.062301,7.200000,2.000000,0.000000,6.000000,all,1.000000,0.000000,800.000000,5.000000,80.560000,121.136800,80.714000,0.001000,0.001000,0.500000,0.500000,6.000000,6.000000,8.000000,8.000000,23.000000,35.000000,0.000000,5.000000,5.000000
0.000000,0.000000,20.000000,60.000000,../data/y656_65_2550_17_400x400m_subset.pcd,0.464857,0.323441,0.027607,0.053065,9.000000,2.000000,0.000000,6.000000,all,1.000000,0.000000,800.000000,5.000000,82.560000,124.136800,82.714000,0.001000,0.001000,0.500000,0.500000,6.000000,6.000000,8.000000,8.000000,23.000000,35.000000,0.000000,5.000000,5.000000
0.000000,0.000000,20.000000,60.000000,../data/y656_65_2550_17_400x400m_subset.pcd,0.834818,0.758901,0.324345,0.060055,12.000000,2.000000,0.000000,6.000000,all,1.000000,0.000000,800.000000,5.000000,84.560000,127.136800,84.714000,0.001000,0.001000,0.500000,0.500000,6.000000,6.000000,8.000000,8.000000,23.000000,35.000000,0.000000,5.000000,5.000000
0.000000,0.000000,20.000000,60.000000,../data/y656_65_2550_17_400x400m_subset.pcd,2.845379,1.755746,-2.013307,0.108803,18.000000,2.000000,0.000000,6.000000,all,1.000000,0.000000,800.000000,5.000000,86.560000,130.136800,86.714000,0.001000,0.001000,0.500000,0.500000,6.000000,6.000000,8.000000,8.000000,23.000000,35.000000,0.000000,5.000000,5.000000
